State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Tamil Nadu",Pudukkottai,"Gandarvakottai(Uzhavar Sandhai ) APMC",Papaya,Papaya,Local,15/03/2026,2500,3000,2750
"Tamil Nadu",Pudukkottai,"Gandarvakottai(Uzhavar Sandhai ) APMC",Tomato,Other,Local,15/03/2026,1500,2000,1750
"Tamil Nadu",Pudukkottai,"Gandarvakottai(Uzhavar Sandhai ) APMC",Raddish,Raddish,Local,15/03/2026,1000,1500,1250
"Tamil Nadu",Nagapattinam,"Vedaranyam(Uzhavar Sandhai)",Brinjal,Round,Local,15/03/2026,4500,4800,4650
"Tamil Nadu",Nagapattinam,"Vedaranyam(Uzhavar Sandhai)","Bhindi(Ladies Finger)",Bhindi,Local,15/03/2026,4000,4500,4250
"Tamil Nadu",Namakkal,"Paramathivelur(Uzhavar Sandhai ) APMC",Coriander(Leaves),"I Sort",Local,15/03/2026,6500,7000,6750
"Tamil Nadu",Namakkal,"Paramathivelur(Uzhavar Sandhai ) APMC","Cluster beans","Cluster Beans",Local,15/03/2026,3500,4000,3750
"Tamil Nadu",Namakkal,"Paramathivelur(Uzhavar Sandhai ) APMC","Bitter gourd","Bitter Gourd",Local,15/03/2026,3200,3600,3400
"Tamil Nadu",Namakkal,"Paramathivelur(Uzhavar Sandhai ) APMC",Ashgourd,Gouard,Local,15/03/2026,1600,1800,1700
"Tamil Nadu",Namakkal,"Paramathivelur(Uzhavar Sandhai ) APMC","Banana - Green","Banana - Green",Local,15/03/2026,3000,3500,3250
"Tamil Nadu",Namakkal,"Paramathivelur(Uzhavar Sandhai ) APMC",Tapioca,Tapioca,Local,15/03/2026,1500,2000,1750
"Tamil Nadu",Namakkal,"Paramathivelur(Uzhavar Sandhai ) APMC",Ginger(Green),"Green Ginger",Local,15/03/2026,6500,7500,7000
"Tamil Nadu",Namakkal,"Paramathivelur(Uzhavar Sandhai ) APMC",Coconut,Coconut,Local,15/03/2026,4500,5000,4750
"Tamil Nadu",Namakkal,"Paramathivelur(Uzhavar Sandhai ) APMC",Snakeguard,Snakeguard,Local,15/03/2026,3500,4000,3750
"Tamil Nadu",Namakkal,"Paramathivelur(Uzhavar Sandhai ) APMC",Ridgeguard(Tori),Ridgeguard(Tori),Local,15/03/2026,5500,6000,5750
"Tamil Nadu",Namakkal,"Paramathivelur(Uzhavar Sandhai ) APMC",Raddish,Raddish,Local,15/03/2026,3200,3600,3400
"Tamil Nadu",Namakkal,"Paramathivelur(Uzhavar Sandhai ) APMC","Amla(Nelli Kai)",Amla,Local,15/03/2026,4500,5000,4750
"Tamil Nadu",Namakkal,"Paramathivelur(Uzhavar Sandhai ) APMC",Mint(Pudina),Mint(Pudina),Local,15/03/2026,4000,4500,4250
"Tamil Nadu",Salem,"Thammampatti (Uzhavar Sandhai ) APMC",Coriander(Leaves),"I Sort",Local,15/03/2026,2000,2500,2250
"Tamil Nadu",Salem,"Thammampatti (Uzhavar Sandhai ) APMC",Amaranthus,Amaranthus,Local,15/03/2026,2000,2500,2250
"Tamil Nadu",Salem,"Thammampatti (Uzhavar Sandhai ) APMC",Carrot,Pusakesar,Local,15/03/2026,6000,6000,6000
"Tamil Nadu",Salem,"Thammampatti (Uzhavar Sandhai ) APMC",Guava,"Guava Allahabad",Local,15/03/2026,5500,6000,5750
"Tamil Nadu",Salem,"Thammampatti (Uzhavar Sandhai ) APMC","Tender Coconut","Tender Coconut",Local,15/03/2026,3000,4000,3500
"Tamil Nadu",Thiruvarur,"Tiruvarur(Uzhavar Sandhai ) APMC",Coconut,Coconut,Local,15/03/2026,5000,5000,5000
"Tamil Nadu",Thiruvarur,"Tiruvarur(Uzhavar Sandhai ) APMC",Raddish,Raddish,Local,15/03/2026,3000,3000,3000
"Tamil Nadu",Coimbatore,"Udumalpet APMC","Cluster beans","Cluster Beans",Local,15/03/2026,3500,4000,3750
"Tamil Nadu",Coimbatore,"Udumalpet APMC",Ashgourd,Gouard,Local,15/03/2026,1500,1800,1650
"Tamil Nadu",Coimbatore,"Udumalpet APMC",Ginger(Green),"Green Ginger",Local,15/03/2026,7500,8000,7750
"Tamil Nadu",Coimbatore,"Udumalpet APMC",Cucumbar(Kheera),Cucumbar,Local,15/03/2026,3500,7000,5250
"Tamil Nadu",Coimbatore,"Udumalpet APMC",Ridgeguard(Tori),Ridgeguard(Tori),Local,15/03/2026,3500,4500,4000
"Tamil Nadu",Coimbatore,"Udumalpet APMC","Green Avare(W)",Other,Local,15/03/2026,4000,5000,4500
"Tamil Nadu",Coimbatore,"Udumalpet APMC","Karbuja(Musk Melon)",Karbhuja,Local,15/03/2026,3000,3600,3300
"Tamil Nadu",Coimbatore,"Udumalpet APMC",Yam(Ratalu),"Yam (Ratalu)",Local,15/03/2026,6500,7000,6750
"Tamil Nadu",Coimbatore,"Udumalpet APMC",Mint(Pudina),Mint(Pudina),Local,15/03/2026,4000,5000,4500
"Tamil Nadu",Thanjavur,"Kumbakonam (Uzhavar Sandhai ) APMC",Tomato,Deshi,Local,15/03/2026,1500,2000,1750
"Tamil Nadu",Thanjavur,"Kumbakonam (Uzhavar Sandhai ) APMC","Chow Chow","Chow Chow",Local,15/03/2026,2400,2400,2400
"Tamil Nadu",Thanjavur,"Kumbakonam (Uzhavar Sandhai ) APMC",Drumstick,Drumstick,Local,15/03/2026,6000,6000,6000
"Tamil Nadu",Thanjavur,"Kumbakonam (Uzhavar Sandhai ) APMC",Lime,Lime,Local,15/03/2026,4000,4000,4000
"Tamil Nadu",Thanjavur,"Kumbakonam (Uzhavar Sandhai ) APMC","Elephant Yam(Suran)/Amorphophallus","Elephant Yam (Suran)",Local,15/03/2026,3600,3600,3600
"Tamil Nadu",Thanjavur,"Kumbakonam (Uzhavar Sandhai ) APMC","Amla(Nelli Kai)",Amla,Local,15/03/2026,8000,8000,8000
"Tamil Nadu",Thanjavur,"Kumbakonam (Uzhavar Sandhai ) APMC",Mint(Pudina),Mint(Pudina),Local,15/03/2026,4200,4200,4200
"Tamil Nadu",Villupuram,"Ulundurpettai APMC",Papaya,Papaya,Local,15/03/2026,2500,2500,2500
"Tamil Nadu",Villupuram,"Ulundurpettai APMC","Cluster beans","Cluster Beans",Local,15/03/2026,5000,5000,5000
"Tamil Nadu",Villupuram,"Ulundurpettai APMC",Ginger(Green),"Green Ginger",Local,15/03/2026,8000,8000,8000
"Tamil Nadu",Villupuram,"Ulundurpettai APMC",Coconut,Coconut,Local,15/03/2026,3000,4000,3500
"Tamil Nadu",Villupuram,"Ulundurpettai APMC",Guava,"Guava Allahabad",Local,15/03/2026,5000,5000,5000
"Madhya Pradesh",Badwani,"Anjad APMC",Wheat,Wheat,FAQ,15/03/2026,2150,2200,2200
Gujarat,Rajkot,"Gondal(Veg.market Gondal) APMC",Apple,Apple,Local,15/03/2026,5000,15000,10000
"West Bengal","Uttar Dinajpur","Islampur APMC",Potato,Other,FAQ,15/03/2026,750,800,780
"West Bengal",Alipurduar,"Alipurduar APMC",Potato,Other,FAQ,15/03/2026,800,850,830
"Tamil Nadu",Thiruvannamalai,"Cheyyar(Uzhavar Sandhai ) APMC","Cluster beans","Cluster Beans",Local,15/03/2026,4000,4800,4400
"Tamil Nadu",Thiruvannamalai,"Cheyyar(Uzhavar Sandhai ) APMC",Beetroot,Beetroot,Local,15/03/2026,3200,4000,3600
"Tamil Nadu",Thiruvannamalai,"Cheyyar(Uzhavar Sandhai ) APMC","Tender Coconut","Tender Coconut",Local,15/03/2026,2000,2500,2250
"Tamil Nadu",Thanjavur,"Papanasam(Uzhavar Sandhai ) APMC","Bhindi(Ladies Finger)",Bhindi,Local,15/03/2026,3600,4800,4200
"Tamil Nadu",Thanjavur,"Papanasam(Uzhavar Sandhai ) APMC",Amaranthus,Amaranthus,Local,15/03/2026,2000,2000,2000
"Tamil Nadu",Thanjavur,"Papanasam(Uzhavar Sandhai ) APMC",Beans,"Beans (Whole)",Local,15/03/2026,6000,6000,6000
"Tamil Nadu",Coimbatore,"Vadavalli(Uzhavar Sandhai ) APMC",Banana,"Red Banana",Local,15/03/2026,6000,7000,6500
"Tamil Nadu",Coimbatore,"Vadavalli(Uzhavar Sandhai ) APMC",Brinjal,Round,Local,15/03/2026,2300,3800,3050
"Tamil Nadu",Coimbatore,"Vadavalli(Uzhavar Sandhai ) APMC",Ashgourd,Gouard,Local,15/03/2026,1500,1800,1650
"Tamil Nadu",Coimbatore,"Vadavalli(Uzhavar Sandhai ) APMC",Cowpea(Veg),"Cowpea (Veg)",Local,15/03/2026,2500,3000,2750
"Tamil Nadu",Coimbatore,"Vadavalli(Uzhavar Sandhai ) APMC","Sweet Potato","Hosur Red",Local,15/03/2026,2500,3000,2750
"Tamil Nadu",Coimbatore,"Vadavalli(Uzhavar Sandhai ) APMC",Snakeguard,Snakeguard,Local,15/03/2026,2500,3000,2750
"Tamil Nadu",Coimbatore,"Vadavalli(Uzhavar Sandhai ) APMC","Green Avare(W)","Green Avare (W)",Local,15/03/2026,4500,5000,4750
"Tamil Nadu",Coimbatore,"Vadavalli(Uzhavar Sandhai ) APMC","Chow Chow","Chow Chow",Local,15/03/2026,2000,2400,2200
"Tamil Nadu",Coimbatore,"Vadavalli(Uzhavar Sandhai ) APMC",Drumstick,Drumstick,Local,15/03/2026,3000,3600,3300
"Tamil Nadu",Coimbatore,"Vadavalli(Uzhavar Sandhai ) APMC","Karbuja(Musk Melon)",Karbhuja,Local,15/03/2026,3000,3600,3300
"Tamil Nadu",Coimbatore,"Vadavalli(Uzhavar Sandhai ) APMC","Elephant Yam(Suran)/Amorphophallus","Elephant Yam (Suran)",Local,15/03/2026,2000,2700,2350
"Tamil Nadu",Coimbatore,"Vadavalli(Uzhavar Sandhai ) APMC","Indian Beans(Seam)","Indian Beans (Seam)",Local,15/03/2026,6000,7000,6500
Tripura,Gomati,"Nutanbazar APMC",Rice,Medium,FAQ,15/03/2026,3850,4000,3950
Tripura,Gomati,"Nutanbazar APMC","Bhindi(Ladies Finger)",Bhindi,FAQ,15/03/2026,7850,8000,7950
Tripura,Gomati,"Nutanbazar APMC",Ginger(Green),"Green Ginger",FAQ,15/03/2026,9850,10000,9950
Tripura,Gomati,"Nutanbazar APMC","Sweet Potato","Sweet Potato",FAQ,15/03/2026,2350,2500,2450
Tripura,Gomati,"Nutanbazar APMC","Green Chilli","Green Chilly",FAQ,15/03/2026,7850,8000,7950
Kerala,Thiruvananthapuram,"Pappanchani VFPCK APMC",Cucumbar(Kheera),Cucumbar,"Grade A",15/03/2026,5000,5000,5000
Kerala,Thiruvananthapuram,"Pappanchani VFPCK APMC","Amranthas Red","Chawli Lal","Grade A",15/03/2026,3000,3000,3000
"Uttar Pradesh",Bulandshahar,"Gulavati APMC",Carrot,Carrot,FAQ,15/03/2026,2400,2600,2500
"Uttar Pradesh",Bulandshahar,"Gulavati APMC",Brinjal,Brinjal,FAQ,15/03/2026,1400,1600,1500
"Uttar Pradesh",Bulandshahar,"Gulavati APMC",Cucumbar(Kheera),Cucumbar,FAQ,15/03/2026,1400,1600,1500
"Uttar Pradesh",Bulandshahar,"Gulavati APMC",Raddish,Raddish,FAQ,15/03/2026,1400,1600,1500
"Uttar Pradesh",Bulandshahar,"Gulavati APMC",Garlic,Desi,FAQ,15/03/2026,6000,6200,6100
"Uttar Pradesh",Bulandshahar,"Gulavati APMC",Ginger(Green),"Green Ginger",FAQ,15/03/2026,6000,6200,6100
"Uttar Pradesh",Bulandshahar,"Gulavati APMC",Onion,Onion,FAQ,15/03/2026,1400,1600,1500
Haryana,Hissar,"Barwala(Hisar) APMC",Guava,Guava,Local,15/03/2026,4000,5000,4500
Haryana,Hissar,"Barwala(Hisar) APMC",Cauliflower,Cauliflower,Local,15/03/2026,800,1000,900
Haryana,Hissar,"Barwala(Hisar) APMC",Lemon,Other,Local,15/03/2026,2500,3000,2800
Haryana,Ambala,"Ambala Cantt. APMC","Green Fodder","Green Fodder",Local,15/03/2026,180,300,265
Haryana,Rewari,"Kosli APMC",Tomato,Other,FAQ,15/03/2026,2000,2000,2000
Kerala,Malappuram,"Kottakkal APMC",Pumpkin,Other,Local,15/03/2026,1800,1800,1800
Kerala,Malappuram,"Kottakkal APMC",Cauliflower,Other,Local,15/03/2026,1800,1800,1800
Kerala,Malappuram,"Kottakkal APMC",Cucumbar(Kheera),Other,Local,15/03/2026,3400,3400,3400
Kerala,Malappuram,"Kottakkal APMC",Onion,Other,Local,15/03/2026,2000,2000,2000
Kerala,Malappuram,"Kottakkal APMC",Tomato,Other,Local,15/03/2026,1600,1600,1600
Kerala,Malappuram,"Kottakkal APMC",Apple,Other,Local,15/03/2026,18000,18000,18000
Kerala,Malappuram,"Kottakkal APMC",Chikoos(Sapota),Other,Local,15/03/2026,3500,3500,3500
Haryana,Gurgaon,"Gurgaon APMC",Potato,Other,"Grade B",15/03/2026,500,700,600
"Tamil Nadu",Coimbatore,"Sundarapuram(Uzhavar Sandhai ) APMC",Garlic,Garlic,Local,15/03/2026,14000,14500,14250
"Tamil Nadu",Coimbatore,"Sundarapuram(Uzhavar Sandhai ) APMC",Coriander(Leaves),"I Sort",Local,15/03/2026,5500,6000,5750
"Tamil Nadu",Coimbatore,"Sundarapuram(Uzhavar Sandhai ) APMC","Bitter gourd","Bitter Gourd",Local,15/03/2026,4000,4500,4250
"Tamil Nadu",Coimbatore,"Sundarapuram(Uzhavar Sandhai ) APMC",Pumpkin,Pumpkin,Local,15/03/2026,1500,2000,1750
"Tamil Nadu",Coimbatore,"Sundarapuram(Uzhavar Sandhai ) APMC","Green Chilli","Green Chilly",Local,15/03/2026,4400,4800,4600
"Tamil Nadu",Coimbatore,"Sundarapuram(Uzhavar Sandhai ) APMC",Beans,"Beans (Whole)",Local,15/03/2026,7000,7500,7250
"Tamil Nadu",Coimbatore,"Sundarapuram(Uzhavar Sandhai ) APMC",Tapioca,Tapioca,Local,15/03/2026,2500,3000,2750
"Tamil Nadu",Coimbatore,"Sundarapuram(Uzhavar Sandhai ) APMC",Turnip,Turnip,Local,15/03/2026,3500,4000,3750
Kerala,Kollam,"Anchal APMC",Colacasia,Colacasia,Medium,15/03/2026,6700,6700,6700
Kerala,Kollam,"Anchal APMC",Papaya,Other,Medium,15/03/2026,2600,2600,2600
Kerala,Kollam,"Anchal APMC",Pumpkin,Pumpkin,Local,15/03/2026,2700,2700,2700
Kerala,Kollam,"Anchal APMC",Cucumbar(Kheera),Cucumbar,Local,15/03/2026,2300,2300,2300
Kerala,Kollam,"Anchal APMC",Onion,Small,Local,15/03/2026,3600,3600,3600
Kerala,Kollam,"Anchal APMC",Banana,"Nendra Bale",Medium,15/03/2026,6400,6400,6400
Kerala,Kollam,"Anchal APMC",Banana,"Red Banana",Medium,15/03/2026,6300,6300,6300
Kerala,Kollam,"Anchal APMC",Banana,Palayamthodan,Medium,15/03/2026,3300,3300,3300
Haryana,Rohtak,"Meham APMC",Chikoos(Sapota),Sapota,Medium,15/03/2026,2800,2800,2800
Haryana,Rohtak,"Meham APMC","Green Chilli","Green Chilly",Medium,15/03/2026,4500,5000,4800
"West Bengal",Darjeeling,"Siliguri APMC",Potato,Other,FAQ,15/03/2026,830,880,850
"West Bengal",Darjeeling,"Siliguri APMC","Squash(Chappal Kadoo)",Other,FAQ,15/03/2026,900,1100,1000
"West Bengal",Darjeeling,"Siliguri APMC","Black Gram Dal(Urd Dal)","Black Gram Dal",FAQ,15/03/2026,9900,10100,10000
Punjab,Tarntaran,"Tarantaran APMC",Carrot,Other,Local,15/03/2026,900,900,900
"Tamil Nadu",Erode,"Gobichettipalayam(Uzhavar Sandhai ) APMC","Cluster beans","Cluster Beans",Local,15/03/2026,4000,4400,4200
"Tamil Nadu",Erode,"Gobichettipalayam(Uzhavar Sandhai ) APMC",Pumpkin,Pumpkin,Local,15/03/2026,2500,2800,2650
"Tamil Nadu",Erode,"Gobichettipalayam(Uzhavar Sandhai ) APMC",Beans,"Beans (Whole)",Local,15/03/2026,7500,7800,7650
"Tamil Nadu",Erode,"Sathiyamagalam(Uzhavar Sandhai ) APMC",Onion,Bellary,Local,15/03/2026,2400,2800,2600
"Tamil Nadu",Erode,"Sathiyamagalam(Uzhavar Sandhai ) APMC",Cauliflower,Ranchi,Local,15/03/2026,2500,3000,2750
"Tamil Nadu",Erode,"Sathiyamagalam(Uzhavar Sandhai ) APMC",Coriander(Leaves),"I Sort",Local,15/03/2026,4000,4500,4250
"Tamil Nadu",Erode,"Sathiyamagalam(Uzhavar Sandhai ) APMC","Bottle gourd","Bottle Gourd",Local,15/03/2026,1000,1500,1250
